model_name,model_path,trained_model_path,size_mb,parameters,training_time_hours,default_map50,default_map50_95,default_precision,default_recall,best_confidence,optimized_map50,optimized_map50_95,optimized_precision,optimized_recall,map50_improvement,map50_95_improvement,precision_improvement,recall_improvement,avg_inference_time,fps,total_inference_time_yolo,fps_yolo,confidence_results,completed_at,part
yolov5n,yolov5nu.pt,yolo_litter_detection_part1/yolov5n/weights/best.pt,5.305060386657715,2654816,0.7875919171836641,0.5073794779140355,0.3310222791919989,0.7023295282339992,0.4393305439330544,0.6,0.605132050070753,0.4653655347949545,0.8541666666666666,0.34309623430962344,0.09775257215671751,0.13434325560295562,0.15183713843266744,-0.09623430962343094,0.06263225078582764,15.966215287704125,0.008270815218550928,120.90706581825958,"[{'confidence': 0.001, 'mAP50': 0.5272602223287828, 'mAP50_95': 0.35105540109495803}, {'confidence': 0.1, 'mAP50': 0.5763597055766487, 'mAP50_95': 0.4079911388061723}, {'confidence': 0.2, 'mAP50': 0.603755591894628, 'mAP50_95': 0.4368726153813842}, {'confidence': 0.3, 'mAP50': 0.6146870778012822, 'mAP50_95': 0.4518805346419164}, {'confidence': 0.4, 'mAP50': 0.6239171381753694, 'mAP50_95': 0.46556723881922163}, {'confidence': 0.5, 'mAP50': 0.6264443808972618, 'mAP50_95': 0.4727258284792394}, {'confidence': 0.6, 'mAP50': 0.6334518975720815, 'mAP50_95': 0.48504781082935267}, {'confidence': 0.7, 'mAP50': 0.6296277208986587, 'mAP50_95': 0.49118437674977306}, {'confidence': 0.8, 'mAP50': 0.6060810504459309, 'mAP50_95': 0.49232380901964296}, {'confidence': 0.9, 'mAP50': 0.520690909090909, 'mAP50_95': 0.473933106660145}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-05T06:55:20.012026,1
yolov5s,yolov5su.pt,yolo_litter_detection_part1/yolov5s/weights/best.pt,17.720465660095215,9153152,0.9080048633946313,0.5487096421261264,0.3615951482982004,0.7297043084322363,0.46129707112970714,0.6,0.6339991335807948,0.48480474725406586,0.8587699316628702,0.39435146443514646,0.08528949145466846,0.12320959895586547,0.12906562323063386,-0.06694560669456068,0.06445679664611817,15.514267727113674,0.008759806410577484,114.15777394264079,"[{'confidence': 0.001, 'mAP50': 0.5536054527302007, 'mAP50_95': 0.37747070626175117}, {'confidence': 0.1, 'mAP50': 0.5965361212860762, 'mAP50_95': 0.42742145830983214}, {'confidence': 0.2, 'mAP50': 0.6191946232882187, 'mAP50_95': 0.45060469911537976}, {'confidence': 0.3, 'mAP50': 0.6369466146143665, 'mAP50_95': 0.4691582603329375}, {'confidence': 0.4, 'mAP50': 0.6484560906648927, 'mAP50_95': 0.4856739280566017}, {'confidence': 0.5, 'mAP50': 0.6596999873107148, 'mAP50_95': 0.5009041741042248}, {'confidence': 0.6, 'mAP50': 0.661448846322347, 'mAP50_95': 0.5084416854004796}, {'confidence': 0.7, 'mAP50': 0.6490151618455665, 'mAP50_95': 0.5095213183505236}, {'confidence': 0.8, 'mAP50': 0.6066223538430731, 'mAP50_95': 0.5048158009369204}, {'confidence': 0.9, 'mAP50': 0.5108857461024497, 'mAP50_95': 0.46492464601913347}, {'confidence': 0.95, 'mAP50': 0.501080786026201, 'mAP50_95': 0.45097270742358087}]",2025-07-05T07:54:32.313202,1
yolov5n6u,yolov5n6u.pt,yolo_litter_detection_part1/yolov5n6u/weights/best.pt,8.652765274047852,4334896,1.6365503739648395,0.5943459800680321,0.3665551039876772,0.6451658974244091,0.5481171548117155,0.5,0.6476545512309215,0.4509394049771454,0.7928571428571428,0.46443514644351463,0.05330857116288945,0.0843843009894682,0.1476912454327337,-0.08368200836820089,0.07240629434585572,13.81095399280348,0.017363422788066782,57.5923314317533,"[{'confidence': 0.001, 'mAP50': 0.5717635262245003, 'mAP50_95': 0.3635411452076941}, {'confidence': 0.1, 'mAP50': 0.6075667307672661, 'mAP50_95': 0.4039496139718932}, {'confidence': 0.2, 'mAP50': 0.6291966413002685, 'mAP50_95': 0.42755291534392503}, {'confidence': 0.3, 'mAP50': 0.6359406422350183, 'mAP50_95': 0.43762602917433424}, {'confidence': 0.4, 'mAP50': 0.6357049092852642, 'mAP50_95': 0.44342521277952474}, {'confidence': 0.5, 'mAP50': 0.6414913391159727, 'mAP50_95': 0.4554875917274989}, {'confidence': 0.6, 'mAP50': 0.6353767110215455, 'mAP50_95': 0.45405668560767676}, {'confidence': 0.7, 'mAP50': 0.6357441388899887, 'mAP50_95': 0.4656181161094713}, {'confidence': 0.8, 'mAP50': 0.5937850258090134, 'mAP50_95': 0.4535689049426487}, {'confidence': 0.9, 'mAP50': 0.5098020000000001, 'mAP50_95': 0.3961658957967385}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-05T09:37:23.222919,1
yolov5s6u,yolov5s6u.pt,yolo_litter_detection_part1/yolov5s6u/weights/best.pt,29.61516761779785,15309328,2.3269364005327224,0.5947237696021661,0.36594953329846974,0.6917892221264365,0.5355648535564853,0.4,0.641680496879107,0.43371307601682085,0.6898395721925134,0.5397489539748954,0.04695672727694089,0.06776354271835111,-0.0019496499339231033,0.004184100418410108,0.0775542664527893,12.894197131098442,0.022822257490052466,43.81687483965466,"[{'confidence': 0.001, 'mAP50': 0.5969359764567002, 'mAP50_95': 0.3844279198844256}, {'confidence': 0.1, 'mAP50': 0.6174954873999298, 'mAP50_95': 0.4135841270946653}, {'confidence': 0.2, 'mAP50': 0.6334625967531743, 'mAP50_95': 0.4326222721215653}, {'confidence': 0.3, 'mAP50': 0.6447606971561632, 'mAP50_95': 0.44480479876492957}, {'confidence': 0.4, 'mAP50': 0.6561768771510651, 'mAP50_95': 0.4628292742359405}, {'confidence': 0.5, 'mAP50': 0.6506344081530894, 'mAP50_95': 0.46728711733135275}, {'confidence': 0.6, 'mAP50': 0.6489691790771678, 'mAP50_95': 0.4677274115024468}, {'confidence': 0.7, 'mAP50': 0.6304232541901942, 'mAP50_95': 0.4711550864587168}, {'confidence': 0.8, 'mAP50': 0.567316861971523, 'mAP50_95': 0.4300652111762792}, {'confidence': 0.9, 'mAP50': 0.5130597315436243, 'mAP50_95': 0.40129071230269486}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-05T12:03:26.997704,1
yolov8n,yolov8n.pt,yolo_litter_detection_part1/yolov8n/weights/best.pt,6.246372222900391,3157200,0.8410802033874724,0.5103687362982622,0.33749772493394314,0.6356377404568695,0.46234309623430964,0.5,0.6065148722037549,0.4666997390936669,0.7995642701525054,0.38389121338912136,0.0961461359054927,0.12920201415972377,0.16392652969563593,-0.07845188284518828,0.06308860778808593,15.850722262868615,0.010005045145577927,99.94957398487945,"[{'confidence': 0.001, 'mAP50': 0.5554335418158702, 'mAP50_95': 0.3838575139068074}, {'confidence': 0.1, 'mAP50': 0.6101145601001046, 'mAP50_95': 0.4456225165964264}, {'confidence': 0.2, 'mAP50': 0.6306504494805483, 'mAP50_95': 0.471979797113634}, {'confidence': 0.3, 'mAP50': 0.6346794385528768, 'mAP50_95': 0.48316398850743675}, {'confidence': 0.4, 'mAP50': 0.6434724874594417, 'mAP50_95': 0.49742206798034133}, {'confidence': 0.5, 'mAP50': 0.6446346022693366, 'mAP50_95': 0.5030914610149176}, {'confidence': 0.6, 'mAP50': 0.6379397051864075, 'mAP50_95': 0.506431101969172}, {'confidence': 0.7, 'mAP50': 0.6370601604690431, 'mAP50_95': 0.5152952648735937}, {'confidence': 0.8, 'mAP50': 0.602935732867699, 'mAP50_95': 0.5088593513433156}, {'confidence': 0.9, 'mAP50': 0.5304962877030163, 'mAP50_95': 0.46305246484685936}, {'confidence': 0.95, 'mAP50': 0.501080786026201, 'mAP50_95': 0.4008646288209608}]",2025-07-05T12:57:50.526033,1
