model_name,model_path,trained_model_path,size_mb,parameters,training_time_hours,default_map50,default_map50_95,default_precision,default_recall,best_confidence,optimized_map50,optimized_map50_95,optimized_precision,optimized_recall,map50_improvement,map50_95_improvement,precision_improvement,recall_improvement,avg_inference_time,fps,total_inference_time_yolo,fps_yolo,confidence_results,completed_at,part
yolov9t,yolov9t.pt,yolo_litter_detection_part2/yolov9t/weights/best.pt,4.7395734786987305,2128720,0.8566530740261078,0.46861357315116664,0.3148680533725982,0.6593542519093463,0.42745861733203505,0.5,0.596536687834964,0.4656250024551115,0.8282352941176471,0.3427458617332035,0.1279231146837974,0.1507569490825133,0.1688810422083008,-0.08471275559883157,0.08933858871459961,11.193371357080562,0.008913012629144105,112.19551027339088,"[{'confidence': 0.001, 'mAP50': 0.4781806070243096, 'mAP50_95': 0.3295632441322924}, {'confidence': 0.1, 'mAP50': 0.5339226069024926, 'mAP50_95': 0.3923671144061213}, {'confidence': 0.2, 'mAP50': 0.5613425161236647, 'mAP50_95': 0.42498493919224567}, {'confidence': 0.3, 'mAP50': 0.580968819143224, 'mAP50_95': 0.4515900787220951}, {'confidence': 0.4, 'mAP50': 0.5884758721900493, 'mAP50_95': 0.4644452188901644}, {'confidence': 0.5, 'mAP50': 0.6044297061859515, 'mAP50_95': 0.4814751755714276}, {'confidence': 0.6, 'mAP50': 0.6004102451813278, 'mAP50_95': 0.4808619603988496}, {'confidence': 0.7, 'mAP50': 0.5908547631219774, 'mAP50_95': 0.48157550517116404}, {'confidence': 0.8, 'mAP50': 0.570884736182016, 'mAP50_95': 0.4820199932082284}, {'confidence': 0.9, 'mAP50': 0.5310470198675498, 'mAP50_95': 0.4619251398189748}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-05T20:53:45.343194,2
yolov9s,yolov9s.pt,yolo_litter_detection_part2/yolov9s/weights/best.pt,14.67634105682373,7318368,1.0522787986861335,0.48586819861304903,0.3115665109672279,0.7000741876528754,0.4295579760109199,0.5,0.6064184158490376,0.4451489585665162,0.7963709677419355,0.38461538461538464,0.12055021723598852,0.13358244759928828,0.09629678008906006,-0.04494259139553525,0.08222603797912598,12.161597768505658,0.011059531649044213,90.41974214942655,"[{'confidence': 0.001, 'mAP50': 0.5065548113292584, 'mAP50_95': 0.3235915431168821}, {'confidence': 0.1, 'mAP50': 0.5523679502839809, 'mAP50_95': 0.3757652618855421}, {'confidence': 0.2, 'mAP50': 0.582508077109964, 'mAP50_95': 0.40445714571960256}, {'confidence': 0.3, 'mAP50': 0.5947826968293235, 'mAP50_95': 0.4192220326625667}, {'confidence': 0.4, 'mAP50': 0.6070708735213296, 'mAP50_95': 0.43696065869641065}, {'confidence': 0.5, 'mAP50': 0.6166080067581972, 'mAP50_95': 0.44721752767122086}, {'confidence': 0.6, 'mAP50': 0.6041575961211314, 'mAP50_95': 0.4514025912061517}, {'confidence': 0.7, 'mAP50': 0.6058514436515787, 'mAP50_95': 0.464431876386677}, {'confidence': 0.8, 'mAP50': 0.579895037838992, 'mAP50_95': 0.45664473913820947}, {'confidence': 0.9, 'mAP50': 0.5093107594936708, 'mAP50_95': 0.4132388429200794}, {'confidence': 0.95, 'mAP50': 0.0, 'mAP50_95': 0.0}]",2025-07-05T22:01:07.407088,2
yolov10n,yolov10n.pt,yolo_litter_detection_part2/yolov10n/weights/best.pt,5.588896751403809,2775520,1.007018723487854,0.4453784314758622,0.3019188867135925,0.6346068879255891,0.4007953850709424,0.6,0.5827726908230794,0.4769828765511785,0.9380165289256198,0.22103213242453748,0.13739425934721716,0.17506398983758598,0.30340964100003076,-0.17976325264640494,0.08151481866836548,12.267708084690657,0.006776058251609767,147.5784243387272,"[{'confidence': 0.001, 'mAP50': 0.4420215582727779, 'mAP50_95': 0.3079170542890314}, {'confidence': 0.1, 'mAP50': 0.5146510135947466, 'mAP50_95': 0.38654329219994404}, {'confidence': 0.2, 'mAP50': 0.5531147011387139, 'mAP50_95': 0.42791378753497156}, {'confidence': 0.3, 'mAP50': 0.5618781970533863, 'mAP50_95': 0.4486985384206673}, {'confidence': 0.4, 'mAP50': 0.5755148925027177, 'mAP50_95': 0.4641884029594888}, {'confidence': 0.5, 'mAP50': 0.5742803388091055, 'mAP50_95': 0.4677713470374304}, {'confidence': 0.6, 'mAP50': 0.5760342215582368, 'mAP50_95': 0.4798688386519382}, {'confidence': 0.7, 'mAP50': 0.564397316949806, 'mAP50_95': 0.47975631316146394}, {'confidence': 0.8, 'mAP50': 0.5529716485680183, 'mAP50_95': 0.4891122504041622}, {'confidence': 0.9, 'mAP50': 0.516552034261242, 'mAP50_95': 0.4745500336836305}, {'confidence': 0.95, 'mAP50': 0.504133611691023, 'mAP50_95': 0.4539605012866267}]",2025-07-05T23:05:12.288408,2
yolov10s,yolov10s.pt,yolo_litter_detection_part2/yolov10s/weights/best.pt,15.853034019470215,8128272,1.0353795061508815,0.47060855948913594,0.3232040210602015,0.669351488006506,0.4060370009737098,0.7,0.5850973663329189,0.4800083147402339,0.8970099667774086,0.2629016553067186,0.11448880684378293,0.1568042936800324,0.22765847877090262,-0.1431353456669912,0.07068093299865723,14.148087151297192,0.008255351582843316,121.13354470308084,"[{'confidence': 0.001, 'mAP50': 0.4867080880311039, 'mAP50_95': 0.3351395864598892}, {'confidence': 0.1, 'mAP50': 0.5531821291942607, 'mAP50_95': 0.4085170763118276}, {'confidence': 0.2, 'mAP50': 0.5839012965401829, 'mAP50_95': 0.44121275522511405}, {'confidence': 0.3, 'mAP50': 0.5876687528924912, 'mAP50_95': 0.45037111188642165}, {'confidence': 0.4, 'mAP50': 0.5976701575330098, 'mAP50_95': 0.4655767725887846}, {'confidence': 0.5, 'mAP50': 0.596148200492119, 'mAP50_95': 0.46938286614277036}, {'confidence': 0.6, 'mAP50': 0.6042103597950182, 'mAP50_95': 0.4836328185777334}, {'confidence': 0.7, 'mAP50': 0.6054574764985318, 'mAP50_95': 0.4918638758550096}, {'confidence': 0.8, 'mAP50': 0.576896108251094, 'mAP50_95': 0.4803008064658372}, {'confidence': 0.9, 'mAP50': 0.5379753639417693, 'mAP50_95': 0.4785951996685799}, {'confidence': 0.95, 'mAP50': 0.5072338235294118, 'mAP50_95': 0.4348960012387648}]",2025-07-06T00:11:37.870380,2
yolo11n,yolo11n.pt,yolo_litter_detection_part2/yolo11n/weights/best.pt,5.353702545166016,2624080,0.840316509074635,0.4590125756776043,0.30811795343107373,0.6856169061516212,0.39922103213242455,0.5,0.595401775316066,0.46965932997908466,0.8545454545454545,0.32035053554040893,0.1363891996384617,0.16154137654801093,0.1689285483938333,-0.07887049659201562,0.06797998905181885,14.710211254046156,0.009442299211875572,105.90640876348219,"[{'confidence': 0.001, 'mAP50': 0.48251122350134823, 'mAP50_95': 0.33060590796482486}, {'confidence': 0.1, 'mAP50': 0.5398914614759222, 'mAP50_95': 0.39369935959443375}, {'confidence': 0.2, 'mAP50': 0.5653023144029781, 'mAP50_95': 0.4228541293409328}, {'confidence': 0.3, 'mAP50': 0.5851985030621814, 'mAP50_95': 0.45144471103341566}, {'confidence': 0.4, 'mAP50': 0.607481331477592, 'mAP50_95': 0.4767428944980933}, {'confidence': 0.5, 'mAP50': 0.6209379654115327, 'mAP50_95': 0.49272694762675256}, {'confidence': 0.6, 'mAP50': 0.6176028222390499, 'mAP50_95': 0.49576198776924885}, {'confidence': 0.7, 'mAP50': 0.5963115672562953, 'mAP50_95': 0.4925344057051334}, {'confidence': 0.8, 'mAP50': 0.5711095881325187, 'mAP50_95': 0.4857901025404968}, {'confidence': 0.9, 'mAP50': 0.5217272727272727, 'mAP50_95': 0.4842465355986511}, {'confidence': 0.95, 'mAP50': 0.5020582120582122, 'mAP50_95': 0.4771537394001089}]",2025-07-06T01:05:40.178387,2
