Method,Train/test dataset,Default conf mAP50,Default conf mAP50-95,Tuned conf mAP50,Tuned conf mAP50-95,mAP50 Improvement (%),mAP50-95 Improvement (%),Size (MB),Parameters (M),Best Confidence,FPS,Efficiency (mAP50/MB),Training Time (h),Part,FPS_YOLO
yolov5s6u,TACO,0.598,0.372,0.658,0.455,6.0,8.4,29.6,15.3,0.400,80.6,0.0222,2.31,1,80.6
yolov5n6u,TACO,0.569,0.341,0.636,0.417,6.7,7.6,8.7,4.3,0.300,179.4,0.0735,1.63,1,179.4
yolov5s,TACO,0.536,0.358,0.633,0.491,9.7,13.3,17.7,9.2,0.500,287.9,0.0357,0.87,1,287.9
yolov8n,TACO,0.513,0.353,0.623,0.500,11.0,14.7,6.2,3.2,0.600,426.1,0.0998,0.83,1,426.1
yolov8s,TACO,0.511,0.349,0.618,0.487,10.7,13.8,21.5,11.2,0.600,251.0,0.0287,0.92,1,251.0
yolov5n,TACO,0.492,0.333,0.615,0.471,12.3,13.8,5.3,2.7,0.500,502.2,0.1159,0.76,1,502.2
yolo11n,TACO,0.211,0.104,0.211,0.104,0.0,0.0,5.4,2.6,0.001,109.2,0.0394,0.02,2,109.2
yolov9t,TACO,0.101,0.049,0.101,0.049,0.0,0.0,4.7,2.1,0.001,97.1,0.0213,0.03,2,97.1
